billing_country,genre_name,total_sales,,,,
Canada,Rock,329.67,,,,
France,Rock,208.89,,,Row Labels,Sum of total_sales
Brazil,Rock,202.95,,,Alternative,81.18
Germany,Rock,192.06,,,Alternative & Punk,358.38
United Kingdom,Rock,164.34,,,Blues,87.12
Czech Republic,Rock,141.57,,,Classical,42.57
Portugal,Rock,106.92,,,Drama,0.99
India,Rock,100.98,,,Easy Listening,60.39
Brazil,Alternative & Punk,73.26,,,Electronica/Dance,49.5
Brazil,Metal,72.27,,,Heavy Metal,4.95
Canada,Metal,71.28,,,Hip Hop/Rap,12.87
Ireland,Rock,71.28,,,Jazz,105.93
Chile,Rock,60.39,,,Latin,143.55
Sweden,Rock,59.4,,,Metal,490.05
France,Metal,53.46,,,Pop,40.59
Finland,Rock,45.54,,,R&B/Soul,104.94
Spain,Rock,45.54,,,Reggae,28.71
Germany,Metal,43.56,,,Rock,2053.26
Hungary,Rock,43.56,,,Soundtrack,2.97
Czech Republic,Alternative & Punk,41.58,,,TV Shows,0.99
Austria,Rock,39.6,,,Grand Total,3668.94
Norway,Rock,39.6,,,,
Poland,Rock,39.6,,,,
Italy,Rock,34.65,,,,
Australia,Rock,33.66,,,,
Netherlands,Rock,32.67,,,,
Canada,Alternative & Punk,30.69,,,,
United Kingdom,Metal,30.69,,,,
Canada,R&B/Soul,28.71,,,,
France,Easy Listening,28.71,,,,
Portugal,Metal,27.72,,,,
France,Latin,26.73,,,,
Belgium,Rock,25.74,,,,
India,Alternative & Punk,24.75,,,,
Denmark,Rock,23.76,,,,
France,Alternative & Punk,23.76,,,,
United Kingdom,Alternative & Punk,23.76,,,,
Czech Republic,Metal,22.77,,,,
Australia,Alternative & Punk,21.78,,,,
Canada,Alternative,21.78,,,,
India,Metal,21.78,,,,
Czech Republic,Latin,20.79,,,,
Brazil,Jazz,19.8,,,,
Ireland,Latin,19.8,,,,
Belgium,Metal,18.81,,,,
Hungary,Metal,18.81,,,,
India,Electronica/Dance,18.81,,,,
Czech Republic,Blues,17.82,,,,
Germany,Jazz,17.82,,,,
Germany,Alternative & Punk,17.82,,,,
Argentina,Alternative & Punk,16.83,,,,
Norway,Metal,16.83,,,,
Spain,Jazz,15.84,,,,
Austria,Jazz,14.85,,,,
Germany,Pop,14.85,,,,
Australia,Metal,13.86,,,,
Brazil,Electronica/Dance,13.86,,,,
Canada,Blues,13.86,,,,
Brazil,Latin,12.87,,,,
Canada,Latin,12.87,,,,
Poland,Blues,12.87,,,,
Portugal,Alternative & Punk,12.87,,,,
Spain,Metal,12.87,,,,
Netherlands,R&B/Soul,11.88,,,,
Argentina,Rock,10.89,,,,
Chile,Metal,10.89,,,,
Germany,R&B/Soul,10.89,,,,
Brazil,R&B/Soul,9.9,,,,
Czech Republic,Alternative,9.9,,,,
Finland,Metal,9.9,,,,
France,Blues,9.9,,,,
Norway,Alternative & Punk,9.9,,,,
Poland,Metal,8.91,,,,
Portugal,Blues,8.91,,,,
Chile,Alternative & Punk,7.92,,,,
France,Reggae,7.92,,,,
France,R&B/Soul,7.92,,,,
Germany,Blues,7.92,,,,
Germany,Latin,7.92,,,,
Hungary,Alternative & Punk,7.92,,,,
Austria,Metal,6.93,,,,
Belgium,Alternative & Punk,6.93,,,,
Brazil,Classical,6.93,,,,
Canada,Jazz,6.93,,,,
France,Alternative,6.93,,,,
Germany,Alternative,6.93,,,,
Ireland,Alternative & Punk,6.93,,,,
Sweden,Metal,6.93,,,,
United Kingdom,Latin,6.93,,,,
Finland,Alternative & Punk,5.94,,,,
India,Latin,5.94,,,,
Ireland,Metal,5.94,,,,
Portugal,Latin,5.94,,,,
Portugal,R&B/Soul,5.94,,,,
United Kingdom,Classical,5.94,,,,
Brazil,Easy Listening,4.95,,,,
Canada,Easy Listening,4.95,,,,
Czech Republic,R&B/Soul,4.95,,,,
